image_name,subfolder,stage,variant,threshold,superlevel,confidence,total_features,betti_0,betti_1,min_persistence,timestamp
16_512v_clean,MOUSEBIRN,baseline,baseline,0.22745098039215686,True,0.9,2,0,0,0.02,2025-10-13T16:36:04.971032
16_512v_gaussian_0.05,MOUSEBIRN,baseline,noised_gaussian_0.05,0.2235294117647059,True,0.9,2,0,0,0.02,2025-10-13T16:36:10.564108
16_512v_gaussian_0.1,MOUSEBIRN,baseline,noised_gaussian_0.1,0.2235294117647059,True,0.9,2,0,0,0.02,2025-10-13T16:36:14.997896
16_512v_salt_pepper_0.05,MOUSEBIRN,baseline,noised_salt_pepper_0.05,0.30980392156862746,True,0.9,2,0,0,0.04905858635902405,2025-10-13T16:36:19.355700
16_512v_salt_pepper_0.1,MOUSEBIRN,baseline,noised_salt_pepper_0.1,0.4,True,0.9,2,0,0,0.10652386397123337,2025-10-13T16:36:24.952015
16_512v_gaussian_0.05_median_filter,MOUSEBIRN,baseline,denoised_gaussian_0.05_median_filter,0.2,True,0.9,2,0,0,0.02,2025-10-13T16:36:31.976921
16_512v_gaussian_0.05_bilateral_filter,MOUSEBIRN,baseline,denoised_gaussian_0.05_bilateral_filter,0.18823529411764706,True,0.9,2,0,0,0.02,2025-10-13T16:36:34.930380
16_512v_gaussian_0.05_non_local_means,MOUSEBIRN,baseline,denoised_gaussian_0.05_non_local_means,0.17254901960784313,True,0.9,2,0,0,0.02,2025-10-13T16:36:38.670323
16_512v_gaussian_0.1_median_filter,MOUSEBIRN,baseline,denoised_gaussian_0.1_median_filter,0.2,True,0.9,2,0,0,0.02,2025-10-13T16:36:41.011643
16_512v_gaussian_0.1_bilateral_filter,MOUSEBIRN,baseline,denoised_gaussian_0.1_bilateral_filter,0.18823529411764706,True,0.9,2,0,0,0.02,2025-10-13T16:36:43.889191
16_512v_gaussian_0.1_non_local_means,MOUSEBIRN,baseline,denoised_gaussian_0.1_non_local_means,0.17254901960784313,True,0.9,2,0,0,0.02,2025-10-13T16:36:47.721769
16_512v_salt_pepper_0.05_median_filter,MOUSEBIRN,baseline,denoised_salt_pepper_0.05_median_filter,0.20392156862745098,True,0.9,2,0,0,0.02,2025-10-13T16:36:50.052047
16_512v_salt_pepper_0.05_bilateral_filter,MOUSEBIRN,baseline,denoised_salt_pepper_0.05_bilateral_filter,0.24313725490196078,True,0.9,2,0,0,0.020857682917267084,2025-10-13T16:36:52.866004
16_512v_salt_pepper_0.05_non_local_means,MOUSEBIRN,baseline,denoised_salt_pepper_0.05_non_local_means,0.18823529411764706,True,0.9,2,0,0,0.02,2025-10-13T16:36:57.113439
16_512v_salt_pepper_0.1_median_filter,MOUSEBIRN,baseline,denoised_salt_pepper_0.1_median_filter,0.20392156862745098,True,0.9,2,0,0,0.02,2025-10-13T16:37:00.085424
16_512v_salt_pepper_0.1_bilateral_filter,MOUSEBIRN,baseline,denoised_salt_pepper_0.1_bilateral_filter,0.38823529411764707,True,0.9,2,0,0,0.05383681878447533,2025-10-13T16:37:02.956860
16_512v_salt_pepper_0.1_non_local_means,MOUSEBIRN,baseline,denoised_salt_pepper_0.1_non_local_means,0.20392156862745098,True,0.9,2,0,0,0.02,2025-10-13T16:37:07.783246
ccdb17_512_clean,MOUSEBIRN,baseline,baseline,0.22745098039215686,True,0.9,2,0,0,0.02,2025-10-13T16:37:11.256164
ccdb17_512_gaussian_0.05,MOUSEBIRN,baseline,noised_gaussian_0.05,0.22745098039215686,True,0.9,2,0,0,0.02,2025-10-13T16:37:15.477568
ccdb17_512_gaussian_0.1,MOUSEBIRN,baseline,noised_gaussian_0.1,0.22745098039215686,True,0.9,2,0,0,0.02,2025-10-13T16:37:22.474513
ccdb17_512_salt_pepper_0.05,MOUSEBIRN,baseline,noised_salt_pepper_0.05,0.3843137254901961,True,0.9,2,0,0,0.042461623437702656,2025-10-13T16:37:27.407701
ccdb17_512_salt_pepper_0.1,MOUSEBIRN,baseline,noised_salt_pepper_0.1,0.4627450980392157,True,0.9,2,0,0,0.09353329427540302,2025-10-13T16:37:32.240012
ccdb17_512_gaussian_0.05_median_filter,MOUSEBIRN,baseline,denoised_gaussian_0.05_median_filter,0.21568627450980393,True,0.9,2,0,0,0.02,2025-10-13T16:37:37.347097
ccdb17_512_gaussian_0.05_bilateral_filter,MOUSEBIRN,baseline,denoised_gaussian_0.05_bilateral_filter,0.20392156862745098,True,0.9,2,0,0,0.02,2025-10-13T16:37:40.520508
ccdb17_512_gaussian_0.05_non_local_means,MOUSEBIRN,baseline,denoised_gaussian_0.05_non_local_means,0.17254901960784313,True,0.9,2,0,0,0.02,2025-10-13T16:37:44.313449
ccdb17_512_gaussian_0.1_median_filter,MOUSEBIRN,baseline,denoised_gaussian_0.1_median_filter,0.21568627450980393,True,0.9,2,0,0,0.02,2025-10-13T16:37:46.950413
ccdb17_512_gaussian_0.1_bilateral_filter,MOUSEBIRN,baseline,denoised_gaussian_0.1_bilateral_filter,0.20392156862745098,True,0.9,2,0,0,0.02,2025-10-13T16:37:49.993637
ccdb17_512_gaussian_0.1_non_local_means,MOUSEBIRN,baseline,denoised_gaussian_0.1_non_local_means,0.17254901960784313,True,0.9,2,0,0,0.02,2025-10-13T16:37:53.749374
ccdb17_512_salt_pepper_0.05_median_filter,MOUSEBIRN,baseline,denoised_salt_pepper_0.05_median_filter,0.2196078431372549,True,0.9,2,0,0,0.02,2025-10-13T16:37:56.178740
ccdb17_512_salt_pepper_0.05_bilateral_filter,MOUSEBIRN,baseline,denoised_salt_pepper_0.05_bilateral_filter,0.3254901960784314,True,0.9,2,0,0,0.02,2025-10-13T16:37:59.118986
ccdb17_512_salt_pepper_0.05_non_local_means,MOUSEBIRN,baseline,denoised_salt_pepper_0.05_non_local_means,0.19215686274509805,True,0.9,2,0,0,0.02,2025-10-13T16:38:03.470752
ccdb17_512_salt_pepper_0.1_median_filter,MOUSEBIRN,baseline,denoised_salt_pepper_0.1_median_filter,0.2196078431372549,True,0.9,2,0,0,0.02,2025-10-13T16:38:06.787188
ccdb17_512_salt_pepper_0.1_bilateral_filter,MOUSEBIRN,baseline,denoised_salt_pepper_0.1_bilateral_filter,0.4196078431372549,True,0.9,2,0,0,0.053582796826958656,2025-10-13T16:38:09.848004
ccdb17_512_salt_pepper_0.1_non_local_means,MOUSEBIRN,baseline,denoised_salt_pepper_0.1_non_local_means,0.20392156862745098,True,0.9,2,0,0,0.02,2025-10-13T16:38:14.725175
ccdb3687_512_clean,MOUSEBIRN,baseline,baseline,0.20784313725490197,True,0.9,2,0,0,0.02,2025-10-13T16:38:18.147832
ccdb3687_512_gaussian_0.05,MOUSEBIRN,baseline,noised_gaussian_0.05,0.20392156862745098,True,0.9,2,0,0,0.02,2025-10-13T16:38:21.113713
ccdb3687_512_gaussian_0.1,MOUSEBIRN,baseline,noised_gaussian_0.1,0.20392156862745098,True,0.9,2,0,0,0.02,2025-10-13T16:38:24.693392
ccdb3687_512_salt_pepper_0.05,MOUSEBIRN,baseline,noised_salt_pepper_0.05,0.4392156862745098,True,0.9,2,0,0,0.04732448793947697,2025-10-13T16:38:28.182156
ccdb3687_512_salt_pepper_0.1,MOUSEBIRN,baseline,noised_salt_pepper_0.1,0.4823529411764706,True,0.9,2,0,0,0.08278641477227211,2025-10-13T16:38:31.641573
ccdb3687_512_gaussian_0.05_median_filter,MOUSEBIRN,baseline,denoised_gaussian_0.05_median_filter,0.1607843137254902,True,0.9,2,0,0,0.02,2025-10-13T16:38:35.361081
ccdb3687_512_gaussian_0.05_bilateral_filter,MOUSEBIRN,baseline,denoised_gaussian_0.05_bilateral_filter,0.1568627450980392,True,0.9,2,0,0,0.02,2025-10-13T16:38:37.536253
ccdb3687_512_gaussian_0.05_non_local_means,MOUSEBIRN,baseline,denoised_gaussian_0.05_non_local_means,0.13333333333333333,True,0.9,2,0,0,0.02,2025-10-13T16:38:40.663158
ccdb3687_512_gaussian_0.1_median_filter,MOUSEBIRN,baseline,denoised_gaussian_0.1_median_filter,0.1607843137254902,True,0.9,2,0,0,0.02,2025-10-13T16:38:42.668073
ccdb3687_512_gaussian_0.1_bilateral_filter,MOUSEBIRN,baseline,denoised_gaussian_0.1_bilateral_filter,0.1568627450980392,True,0.9,2,0,0,0.02,2025-10-13T16:38:45.033527
ccdb3687_512_gaussian_0.1_non_local_means,MOUSEBIRN,baseline,denoised_gaussian_0.1_non_local_means,0.13333333333333333,True,0.9,2,0,0,0.02,2025-10-13T16:38:48.230999
ccdb3687_512_salt_pepper_0.05_median_filter,MOUSEBIRN,baseline,denoised_salt_pepper_0.05_median_filter,0.16470588235294117,True,0.9,2,0,0,0.02,2025-10-13T16:38:50.254517
ccdb3687_512_salt_pepper_0.05_bilateral_filter,MOUSEBIRN,baseline,denoised_salt_pepper_0.05_bilateral_filter,0.41568627450980394,True,0.9,2,0,0,0.02,2025-10-13T16:38:52.564451
ccdb3687_512_salt_pepper_0.05_non_local_means,MOUSEBIRN,baseline,denoised_salt_pepper_0.05_non_local_means,0.15294117647058825,True,0.9,2,0,0,0.02,2025-10-13T16:38:56.151695
ccdb3687_512_salt_pepper_0.1_median_filter,MOUSEBIRN,baseline,denoised_salt_pepper_0.1_median_filter,0.16470588235294117,True,0.9,2,0,0,0.02,2025-10-13T16:38:58.526497
ccdb3687_512_salt_pepper_0.1_bilateral_filter,MOUSEBIRN,baseline,denoised_salt_pepper_0.1_bilateral_filter,0.4549019607843137,True,0.9,2,0,0,0.0569919403642416,2025-10-13T16:39:00.709894
ccdb3687_512_salt_pepper_0.1_non_local_means,MOUSEBIRN,baseline,denoised_salt_pepper_0.1_non_local_means,0.16862745098039217,True,0.9,2,0,0,0.02,2025-10-13T16:39:04.889592
ccdb3_512_clean,MOUSEBIRN,baseline,baseline,0.10980392156862745,True,0.9,2,0,0,0.02,2025-10-13T16:39:07.384070
ccdb3_512_gaussian_0.05,MOUSEBIRN,baseline,noised_gaussian_0.05,0.10588235294117647,True,0.9,2,0,0,0.02,2025-10-13T16:39:10.995185
ccdb3_512_gaussian_0.1,MOUSEBIRN,baseline,noised_gaussian_0.1,0.10588235294117647,True,0.9,2,0,0,0.02,2025-10-13T16:39:14.574344
ccdb3_512_salt_pepper_0.05,MOUSEBIRN,baseline,noised_salt_pepper_0.05,0.4588235294117647,True,0.9,2,0,0,0.054789746180176735,2025-10-13T16:39:18.211008
ccdb3_512_salt_pepper_0.1,MOUSEBIRN,baseline,noised_salt_pepper_0.1,0.49411764705882355,True,0.9,2,0,0,0.09868749976158142,2025-10-13T16:39:22.270478
ccdb3_512_gaussian_0.05_median_filter,MOUSEBIRN,baseline,denoised_gaussian_0.05_median_filter,0.09803921568627451,True,0.9,2,0,0,0.02,2025-10-13T16:39:26.298836
ccdb3_512_gaussian_0.05_bilateral_filter,MOUSEBIRN,baseline,denoised_gaussian_0.05_bilateral_filter,0.09019607843137255,True,0.9,2,0,0,0.02,2025-10-13T16:39:28.909907
ccdb3_512_gaussian_0.05_non_local_means,MOUSEBIRN,baseline,denoised_gaussian_0.05_non_local_means,0.0784313725490196,True,0.9,2,0,0,0.02,2025-10-13T16:39:32.124697
ccdb3_512_gaussian_0.1_median_filter,MOUSEBIRN,baseline,denoised_gaussian_0.1_median_filter,0.09803921568627451,True,0.9,2,0,0,0.02,2025-10-13T16:39:34.263664
ccdb3_512_gaussian_0.1_bilateral_filter,MOUSEBIRN,baseline,denoised_gaussian_0.1_bilateral_filter,0.09019607843137255,True,0.9,2,0,0,0.02,2025-10-13T16:39:36.850186
ccdb3_512_gaussian_0.1_non_local_means,MOUSEBIRN,baseline,denoised_gaussian_0.1_non_local_means,0.0784313725490196,True,0.9,2,0,0,0.02,2025-10-13T16:39:40.060663
ccdb3_512_salt_pepper_0.05_median_filter,MOUSEBIRN,baseline,denoised_salt_pepper_0.05_median_filter,0.09803921568627451,True,0.9,2,0,0,0.02,2025-10-13T16:39:42.351188
ccdb3_512_salt_pepper_0.05_bilateral_filter,MOUSEBIRN,baseline,denoised_salt_pepper_0.05_bilateral_filter,0.396078431372549,True,0.9,2,0,0,0.02,2025-10-13T16:39:45.040140
ccdb3_512_salt_pepper_0.05_non_local_means,MOUSEBIRN,baseline,denoised_salt_pepper_0.05_non_local_means,0.09803921568627451,True,0.9,2,0,0,0.02,2025-10-13T16:39:48.571486
