image_name,subfolder,stage,variant,threshold,superlevel,confidence,total_features,betti_0,betti_1,min_persistence,timestamp
16_512v_clean,MOUSEBIRN,baseline,baseline,0.22745098039215686,True,0.9,25937,11480,14457,0.02,2025-10-14T20:21:46.211757
16_512v_gaussian_0.05,MOUSEBIRN,baseline,noised_gaussian_0.05,0.2235294117647059,True,0.9,36752,14261,22491,0.02,2025-10-14T20:21:52.608652
16_512v_gaussian_0.1,MOUSEBIRN,baseline,noised_gaussian_0.1,0.2235294117647059,True,0.9,36994,14397,22597,0.02,2025-10-14T20:21:58.383377
16_512v_salt_pepper_0.05,MOUSEBIRN,baseline,noised_salt_pepper_0.05,0.30980392156862746,True,0.9,34386,15174,19212,0.04892026260495186,2025-10-14T20:22:06.103805
16_512v_salt_pepper_0.1,MOUSEBIRN,baseline,noised_salt_pepper_0.1,0.4,True,0.9,41449,17971,23478,0.10362855345010757,2025-10-14T20:22:11.439355
16_512v_gaussian_0.05_median_filter,MOUSEBIRN,baseline,denoised_gaussian_0.05_median_filter,0.2,True,0.9,12623,6091,6532,0.02,2025-10-14T20:22:17.628016
16_512v_gaussian_0.05_bilateral_filter,MOUSEBIRN,baseline,denoised_gaussian_0.05_bilateral_filter,0.18823529411764706,True,0.9,10494,5166,5328,0.02,2025-10-14T20:22:22.866735
16_512v_gaussian_0.05_non_local_means,MOUSEBIRN,baseline,denoised_gaussian_0.05_non_local_means,0.17254901960784313,True,0.9,4068,2131,1937,0.02,2025-10-14T20:22:27.647959
16_512v_gaussian_0.1_median_filter,MOUSEBIRN,baseline,denoised_gaussian_0.1_median_filter,0.2,True,0.9,12743,6101,6642,0.02,2025-10-14T20:22:31.046200
16_512v_gaussian_0.1_bilateral_filter,MOUSEBIRN,baseline,denoised_gaussian_0.1_bilateral_filter,0.18823529411764706,True,0.9,10605,5193,5412,0.02,2025-10-14T20:22:36.382806
16_512v_gaussian_0.1_non_local_means,MOUSEBIRN,baseline,denoised_gaussian_0.1_non_local_means,0.17254901960784313,True,0.9,4052,2138,1914,0.02,2025-10-14T20:22:41.302576
16_512v_salt_pepper_0.05_median_filter,MOUSEBIRN,baseline,denoised_salt_pepper_0.05_median_filter,0.20392156862745098,True,0.9,11241,5863,5378,0.02,2025-10-14T20:22:44.660318
16_512v_salt_pepper_0.05_bilateral_filter,MOUSEBIRN,baseline,denoised_salt_pepper_0.05_bilateral_filter,0.24313725490196078,True,0.9,18829,10654,8175,0.02113990020006895,2025-10-14T20:22:50.035557
16_512v_salt_pepper_0.05_non_local_means,MOUSEBIRN,baseline,denoised_salt_pepper_0.05_non_local_means,0.18823529411764706,True,0.9,15322,7231,8091,0.02,2025-10-14T20:22:55.362855
16_512v_salt_pepper_0.1_median_filter,MOUSEBIRN,baseline,denoised_salt_pepper_0.1_median_filter,0.20392156862745098,True,0.9,11519,5966,5553,0.02,2025-10-14T20:22:59.398837
16_512v_salt_pepper_0.1_bilateral_filter,MOUSEBIRN,baseline,denoised_salt_pepper_0.1_bilateral_filter,0.38823529411764707,True,0.9,25734,15133,10601,0.05322049744427204,2025-10-14T20:23:04.897272
16_512v_salt_pepper_0.1_non_local_means,MOUSEBIRN,baseline,denoised_salt_pepper_0.1_non_local_means,0.20392156862745098,True,0.9,19269,8874,10395,0.02,2025-10-14T20:23:10.747249
ccdb17_512_clean,MOUSEBIRN,baseline,baseline,0.22745098039215686,True,0.9,31035,13872,17163,0.02,2025-10-14T20:23:59.344913
ccdb17_512_gaussian_0.05,MOUSEBIRN,baseline,noised_gaussian_0.05,0.22745098039215686,True,0.9,39659,15817,23842,0.02,2025-10-14T20:24:05.838111
ccdb17_512_gaussian_0.1,MOUSEBIRN,baseline,noised_gaussian_0.1,0.22745098039215686,True,0.9,39676,15828,23848,0.02,2025-10-14T20:24:12.418365
ccdb17_512_salt_pepper_0.05,MOUSEBIRN,baseline,noised_salt_pepper_0.05,0.3843137254901961,True,0.9,39848,17746,22102,0.04260293673723936,2025-10-14T20:24:19.089532
ccdb17_512_salt_pepper_0.1,MOUSEBIRN,baseline,noised_salt_pepper_0.1,0.4627450980392157,True,0.9,47272,20777,26495,0.09308468922972679,2025-10-14T20:24:25.162935
ccdb17_512_gaussian_0.05_median_filter,MOUSEBIRN,baseline,denoised_gaussian_0.05_median_filter,0.21568627450980393,True,0.9,13459,6921,6538,0.02,2025-10-14T20:24:31.220356
ccdb17_512_gaussian_0.05_bilateral_filter,MOUSEBIRN,baseline,denoised_gaussian_0.05_bilateral_filter,0.20392156862745098,True,0.9,9639,5279,4360,0.02,2025-10-14T20:24:37.011566
ccdb17_512_gaussian_0.05_non_local_means,MOUSEBIRN,baseline,denoised_gaussian_0.05_non_local_means,0.17254901960784313,True,0.9,3268,2157,1111,0.02,2025-10-14T20:24:41.921019
ccdb17_512_gaussian_0.1_median_filter,MOUSEBIRN,baseline,denoised_gaussian_0.1_median_filter,0.21568627450980393,True,0.9,13386,6923,6463,0.02,2025-10-14T20:24:45.356903
ccdb17_512_gaussian_0.1_bilateral_filter,MOUSEBIRN,baseline,denoised_gaussian_0.1_bilateral_filter,0.20392156862745098,True,0.9,9622,5314,4308,0.02,2025-10-14T20:24:50.870863
ccdb17_512_gaussian_0.1_non_local_means,MOUSEBIRN,baseline,denoised_gaussian_0.1_non_local_means,0.17254901960784313,True,0.9,3210,2122,1088,0.02,2025-10-14T20:24:55.740093
