image_name,noise_type,noise_level,denoise_method,clean_betti_0,clean_betti_1,noisy_betti_0,noisy_betti_1,denoised_betti_0,denoised_betti_1,noise_impact_betti_0,noise_impact_betti_1,noise_impact_total,recovery_betti_0,recovery_betti_1,recovery_total,relative_noise_impact,relative_recovery,timestamp,wasserstein_clean_noisy_H0,wasserstein_clean_denoised_H0,wasserstein_noisy_denoised_H0,wasserstein_clean_noisy_H1,wasserstein_clean_denoised_H1,wasserstein_noisy_denoised_H1
Fluoroscent_Red_313,gaussian,0.05,median_filter,19893,935,99486,6157,42091,25022,79593,5222,84815,22198,24087,46285,4.07216247359324,0.4542828509108059,2025-10-18T00:53:48.647759,0.0,0.0,0.0,0.0,0.0,0.0
Fluoroscent_Red_313,gaussian,0.05,bilateral_filter,19893,935,99509,6226,17884,2366,79616,5291,84907,2009,1431,578,4.076579604378721,0.9931925518508485,2025-10-18T00:54:46.389025,0.0,0.0,0.0,0.0,0.0,0.0
Fluoroscent_Red_313,gaussian,0.05,non_local_means,19893,935,99760,6223,8483,306,79867,5288,85155,11410,629,12039,4.088486652583061,0.8586225118900828,2025-10-18T00:55:56.470649,0.0,0.0,0.0,0.0,0.0,0.0
Fluoroscent_Red_313,gaussian,0.1,median_filter,19893,935,153156,10132,82959,43144,133263,9197,142460,63066,42209,105275,6.839830996735164,0.26102063737189385,2025-10-18T00:57:15.949978,0.0,0.0,0.0,0.0,0.0,0.0
Fluoroscent_Red_313,gaussian,0.1,bilateral_filter,19893,935,153292,10153,69693,21636,133399,9218,142617,49800,20701,70501,6.84736892644517,0.5056620178520093,2025-10-18T00:58:36.829328,0.0,0.0,0.0,0.0,0.0,0.0
Fluoroscent_Red_313,gaussian,0.1,non_local_means,19893,935,153532,10204,8446,339,133639,9269,142908,11447,596,12043,6.861340503168811,0.9157290004758306,2025-10-18T01:00:21.186689,0.0,0.0,0.0,0.0,0.0,0.0
Fluoroscent_Red_313,salt_pepper,0.05,median_filter,19893,935,101450,23783,15048,848,81557,22848,104405,4845,87,4932,5.012723257153832,0.9527608830994684,2025-10-18T01:01:26.329968,0.0,0.0,0.0,0.0,0.0,0.0
Fluoroscent_Red_313,salt_pepper,0.05,bilateral_filter,19893,935,101225,23510,88880,5906,81332,22575,103907,68987,4971,73958,4.988813136162857,0.28822889699442766,2025-10-18T01:02:31.403851,0.0,0.0,0.0,0.0,0.0,0.0
Fluoroscent_Red_313,salt_pepper,0.05,non_local_means,19893,935,101598,23856,9429,3634,81705,22921,104626,10464,2699,7765,5.023333973497215,0.9257832661097624,2025-10-18T01:04:50.330641,0.0,0.0,0.0,0.0,0.0,0.0
Fluoroscent_Red_313,salt_pepper,0.1,median_filter,19893,935,153408,4150,15073,853,133515,3215,136730,4820,82,4902,6.564720568465527,0.9641483215095443,2025-10-18T01:07:18.054796,0.0,0.0,0.0,0.0,0.0,0.0
