image_name,subfolder,stage,variant,threshold,superlevel,confidence,total_features,betti_0,betti_1,min_persistence,timestamp
Fluoroscent_Red_313_clean,ReportImages,baseline,baseline,0.09803921568627451,True,0.9,3767,1,3766,0.02,2025-10-17T03:20:53.471626
Fluoroscent_Red_313_gaussian_0.05,ReportImages,baseline,noised_gaussian_0.05,0.09803921568627451,True,0.9,4177,1,4176,0.02,2025-10-17T03:21:16.649659
Fluoroscent_Red_313_gaussian_0.1,ReportImages,baseline,noised_gaussian_0.1,0.09803921568627451,True,0.9,4171,1,4170,0.02,2025-10-17T03:21:52.838732
Fluoroscent_Red_313_salt_pepper_0.05,ReportImages,baseline,noised_salt_pepper_0.05,0.5254901960784314,True,0.9,292,1,291,0.02,2025-10-17T03:22:31.411983
Fluoroscent_Red_313_salt_pepper_0.1,ReportImages,baseline,noised_salt_pepper_0.1,0.5215686274509804,True,0.9,3781,1,3780,0.06792697124183178,2025-10-17T03:23:04.957789
Fluoroscent_Red_313_gaussian_0.05_median_filter,ReportImages,baseline,denoised_gaussian_0.05_median_filter,0.09803921568627451,True,0.9,4138,1,4137,0.02,2025-10-17T03:23:39.993750
Fluoroscent_Red_313_gaussian_0.05_bilateral_filter,ReportImages,baseline,denoised_gaussian_0.05_bilateral_filter,0.09803921568627451,True,0.9,3732,1,3731,0.02,2025-10-17T03:24:15.512222
Fluoroscent_Red_313_gaussian_0.05_non_local_means,ReportImages,baseline,denoised_gaussian_0.05_non_local_means,0.09019607843137255,True,0.9,3768,1,3767,0.02,2025-10-17T03:25:03.580083
Fluoroscent_Red_313_gaussian_0.1_median_filter,ReportImages,baseline,denoised_gaussian_0.1_median_filter,0.09803921568627451,True,0.9,4141,1,4140,0.02,2025-10-17T03:25:37.865164
Fluoroscent_Red_313_gaussian_0.1_bilateral_filter,ReportImages,baseline,denoised_gaussian_0.1_bilateral_filter,0.09803921568627451,True,0.9,3727,1,3726,0.02,2025-10-17T03:26:15.065531
Fluoroscent_Red_313_gaussian_0.1_non_local_means,ReportImages,baseline,denoised_gaussian_0.1_non_local_means,0.09019607843137255,True,0.9,3769,1,3768,0.02,2025-10-17T03:27:01.564209
Fluoroscent_Red_313_salt_pepper_0.05_median_filter,ReportImages,baseline,denoised_salt_pepper_0.05_median_filter,0.09803921568627451,True,0.9,3789,1,3788,0.02,2025-10-17T03:27:47.270987
Fluoroscent_Red_313_salt_pepper_0.05_bilateral_filter,ReportImages,baseline,denoised_salt_pepper_0.05_bilateral_filter,0.4235294117647059,True,0.9,292,1,291,0.02,2025-10-17T03:28:12.880447
Fluoroscent_Red_313_salt_pepper_0.05_non_local_means,ReportImages,baseline,denoised_salt_pepper_0.05_non_local_means,0.11372549019607843,True,0.9,3575,1,3574,0.02,2025-10-17T03:28:54.388269
