image_name,noise_type,noise_level,denoise_method,clean_betti_0,clean_betti_1,noisy_betti_0,noisy_betti_1,denoised_betti_0,denoised_betti_1,noise_impact_betti_0,noise_impact_betti_1,noise_impact_total,recovery_betti_0,recovery_betti_1,recovery_total,relative_noise_impact,relative_recovery,timestamp,wasserstein_clean_noisy_H0,wasserstein_clean_denoised_H0,wasserstein_noisy_denoised_H0,wasserstein_clean_noisy_H1,wasserstein_clean_denoised_H1,wasserstein_noisy_denoised_H1
Fluoroscent_Red_313,gaussian,0.05,median_filter,1,3766,1,4053,1,3816,0,287,287,0,50,50,0.07618794796920625,0.8257839721254355,2025-10-17T03:31:30.478208,0.0,0.0,0.0,0.0,0.0,0.0
Fluoroscent_Red_313,gaussian,0.05,bilateral_filter,1,3766,1,4221,1,3862,0,455,455,0,96,96,0.12078577117069278,0.789010989010989,2025-10-17T03:32:17.806001,0.0,0.0,0.0,0.0,0.0,0.0
Fluoroscent_Red_313,gaussian,0.05,non_local_means,1,3766,1,4111,1,3377,0,345,345,0,389,389,0.09158481550305275,-0.12753623188405805,2025-10-17T03:33:17.680332,0.0,0.0,0.0,0.0,0.0,0.0
Fluoroscent_Red_313,gaussian,0.1,median_filter,1,3766,1,3917,1,3979,0,151,151,0,213,213,0.04008494823466946,-0.4105960264900663,2025-10-17T03:34:06.496993,0.0,0.0,0.0,0.0,0.0,0.0
Fluoroscent_Red_313,gaussian,0.1,bilateral_filter,1,3766,1,4560,1,3859,0,794,794,0,93,93,0.21077780727369255,0.8828715365239295,2025-10-17T03:34:54.672254,0.0,0.0,0.0,0.0,0.0,0.0
Fluoroscent_Red_313,gaussian,0.1,non_local_means,1,3766,1,3713,1,3785,0,-53,-53,0,19,19,-0.014069551367135613,0.6415094339622642,2025-10-17T03:35:56.375606,0.0,0.0,0.0,0.0,0.0,0.0
Fluoroscent_Red_313,salt_pepper,0.05,median_filter,1,3766,1,250,1,3796,0,-3516,-3516,0,30,30,-0.9333687284311123,0.9914675767918089,2025-10-17T03:36:49.095524,0.0,0.0,0.0,0.0,0.0,0.0
Fluoroscent_Red_313,salt_pepper,0.05,bilateral_filter,1,3766,1,293,1,293,0,-3473,-3473,0,3473,3473,-0.9219538093973985,0.0,2025-10-17T03:37:38.180045,0.0,0.0,0.0,0.0,0.0,0.0
Fluoroscent_Red_313,salt_pepper,0.05,non_local_means,1,3766,1,270,1,3678,0,-3496,-3496,0,88,88,-0.9280594637642686,0.9748283752860412,2025-10-17T03:38:40.742989,0.0,0.0,0.0,0.0,0.0,0.0
Fluoroscent_Red_313,salt_pepper,0.1,median_filter,1,3766,1,3598,1,3773,0,-168,-168,0,7,7,-0.04459782320148664,0.9583333333333334,2025-10-17T03:39:35.421672,0.0,0.0,0.0,0.0,0.0,0.0
Fluoroscent_Red_313,salt_pepper,0.1,bilateral_filter,1,3766,1,3744,1,3744,0,-22,-22,0,22,22,-0.005840191133527961,0.0,2025-10-17T03:40:33.149266,0.0,0.0,0.0,0.0,0.0,0.0
Fluoroscent_Red_313,salt_pepper,0.1,non_local_means,1,3766,1,3654,1,3636,0,-112,-112,0,130,130,-0.029731882134324428,-0.1607142857142858,2025-10-17T03:41:43.955281,0.0,0.0,0.0,0.0,0.0,0.0
FLuroscent_Green61,gaussian,0.05,median_filter,1,605,452,4421,1,1902,451,3816,4267,0,1297,1297,7.041254125412541,0.6960393719240685,2025-10-17T03:48:58.369776,0.0,0.0,0.0,0.0,0.0,0.0
FLuroscent_Green61,gaussian,0.05,bilateral_filter,1,605,222,4143,1,2449,221,3538,3759,0,1844,1844,6.202970297029703,0.5094440010641128,2025-10-17T03:49:36.137222,0.0,0.0,0.0,0.0,0.0,0.0
FLuroscent_Green61,gaussian,0.05,non_local_means,1,605,175,3980,1,431,174,3375,3549,0,174,174,5.856435643564357,0.9509721048182587,2025-10-17T03:50:09.036091,0.0,0.0,0.0,0.0,0.0,0.0
FLuroscent_Green61,gaussian,0.1,median_filter,1,605,2,3179,1,1711,1,2574,2575,0,1106,1106,4.249174917491749,0.5704854368932039,2025-10-17T03:50:35.014783,0.0,0.0,0.0,0.0,0.0,0.0
FLuroscent_Green61,gaussian,0.1,bilateral_filter,1,605,8,3901,1,1790,7,3296,3303,0,1185,1185,5.4504950495049505,0.6412352406902815,2025-10-17T03:51:00.511837,0.0,0.0,0.0,0.0,0.0,0.0
FLuroscent_Green61,gaussian,0.1,non_local_means,1,605,6,3303,1,410,5,2698,2703,0,195,195,4.46039603960396,0.9278579356270811,2025-10-17T03:51:32.904993,0.0,0.0,0.0,0.0,0.0,0.0
FLuroscent_Green61,salt_pepper,0.05,median_filter,1,605,1,126,1,501,0,-479,-479,0,104,104,-0.7904290429042904,0.7828810020876826,2025-10-17T03:51:56.935403,0.0,0.0,0.0,0.0,0.0,0.0
FLuroscent_Green61,salt_pepper,0.05,bilateral_filter,1,605,1,117,1,117,0,-488,-488,0,488,488,-0.8052805280528053,0.0,2025-10-17T03:52:20.639911,0.0,0.0,0.0,0.0,0.0,0.0
FLuroscent_Green61,salt_pepper,0.05,non_local_means,1,605,1,129,5,3510,0,-476,-476,4,2905,2909,-0.7854785478547854,-5.111344537815126,2025-10-17T03:52:51.991818,0.0,0.0,0.0,0.0,0.0,0.0
FLuroscent_Green61,salt_pepper,0.1,median_filter,1,605,1,1762,1,493,0,1157,1157,0,112,112,1.9092409240924093,0.9031979256698358,2025-10-17T03:53:16.561210,0.0,0.0,0.0,0.0,0.0,0.0
FLuroscent_Green61,salt_pepper,0.1,bilateral_filter,1,605,1,1846,1,1846,0,1241,1241,0,1241,1241,2.047854785478548,0.0,2025-10-17T03:53:38.141597,0.0,0.0,0.0,0.0,0.0,0.0
FLuroscent_Green61,salt_pepper,0.1,non_local_means,1,605,1,1821,15,4385,0,1216,1216,14,3780,3794,2.0066006600660065,-2.120065789473684,2025-10-17T03:54:06.897664,0.0,0.0,0.0,0.0,0.0,0.0
Fluroscent_Yellow,gaussian,0.05,median_filter,1,585,1,525,1,585,0,-60,-60,0,0,0,-0.10238907849829348,1.0,2025-10-17T03:59:02.505988,0.0,0.0,0.0,0.0,0.0,0.0
