image_name,subfolder,stage,variant,threshold,superlevel,confidence,total_features,betti_0,betti_1,min_persistence,timestamp
img_000_200_200_clean,nucmm\Mouse (NucMM-M)\mouse,baseline,baseline,0.5882352941176471,False,0.9,6097,2441,3656,0.10697899013757706,2025-10-13T18:05:42.560095
img_000_200_200_gaussian_0.05,nucmm\Mouse (NucMM-M)\mouse,baseline,noised_gaussian_0.05,0.5882352941176471,False,0.9,6422,2548,3874,0.1067814789712429,2025-10-13T18:05:45.964961
img_000_200_200_gaussian_0.1,nucmm\Mouse (NucMM-M)\mouse,baseline,noised_gaussian_0.1,0.5882352941176471,False,0.9,6456,2558,3898,0.10735729336738586,2025-10-13T18:05:48.789561
img_000_200_200_salt_pepper_0.05,nucmm\Mouse (NucMM-M)\mouse,baseline,noised_salt_pepper_0.05,0.44313725490196076,False,0.9,6959,2794,4165,0.12,2025-10-13T18:05:52.638266
img_000_200_200_salt_pepper_0.1,nucmm\Mouse (NucMM-M)\mouse,baseline,noised_salt_pepper_0.1,0.34901960784313724,False,0.9,7578,3028,4550,0.12,2025-10-13T18:05:55.686384
img_000_200_200_gaussian_0.05_median_filter,nucmm\Mouse (NucMM-M)\mouse,baseline,denoised_gaussian_0.05_median_filter,0.5764705882352941,False,0.9,857,428,429,0.023874040693044662,2025-10-13T18:05:58.798143
img_000_200_200_gaussian_0.05_bilateral_filter,nucmm\Mouse (NucMM-M)\mouse,baseline,denoised_gaussian_0.05_bilateral_filter,0.5843137254901961,False,0.9,578,241,337,0.02,2025-10-13T18:06:01.513443
img_000_200_200_gaussian_0.05_non_local_means,nucmm\Mouse (NucMM-M)\mouse,baseline,denoised_gaussian_0.05_non_local_means,0.6,False,0.9,130,71,59,0.02,2025-10-13T18:06:04.273409
img_000_200_200_gaussian_0.1_median_filter,nucmm\Mouse (NucMM-M)\mouse,baseline,denoised_gaussian_0.1_median_filter,0.5803921568627451,False,0.9,859,437,422,0.023657580837607384,2025-10-13T18:06:06.388092
img_000_200_200_gaussian_0.1_bilateral_filter,nucmm\Mouse (NucMM-M)\mouse,baseline,denoised_gaussian_0.1_bilateral_filter,0.5843137254901961,False,0.9,570,247,323,0.02,2025-10-13T18:06:08.712333
