image_name,intensity_betti_0,intensity_betti_1,edt_betti_0,edt_betti_1,method_difference_total,better_method,threshold,superlevel
Fluoroscent_Red_313_clean,19893,935,8,9449,0,unknown,0.09803921568627451,True
Fluoroscent_Red_313_gaussian_0.01,20755,1188,8,9780,0,unknown,0.09803921568627451,True
Fluoroscent_Red_313_gaussian_0.03,20749,1198,8,9785,0,unknown,0.09803921568627451,True
Fluoroscent_Red_313_gaussian_0.05,20742,1197,8,9792,0,unknown,0.09803921568627451,True
Fluoroscent_Red_313_gaussian_0.08,20760,1195,8,9812,0,unknown,0.09803921568627451,True
Fluoroscent_Red_313_gaussian_0.10,20825,1223,7,9789,0,unknown,0.09803921568627451,True
Fluoroscent_Red_313_salt_pepper_0.01,37623,5673,6,10281,0,unknown,0.12156862745098039,True
Fluoroscent_Red_313_salt_pepper_0.03,71018,14763,1,43,0,unknown,0.5254901960784314,True
Fluoroscent_Red_313_salt_pepper_0.05,101485,23751,1,289,0,unknown,0.5254901960784314,True
Fluoroscent_Red_313_salt_pepper_0.08,132739,6452,1,1718,0,unknown,0.5254901960784314,True
Fluoroscent_Red_313_salt_pepper_0.10,153590,4121,1,3629,0,unknown,0.5294117647058824,True
Fluoroscent_Red_313_gaussian_0.01_median_filter,15003,908,8,9734,0,unknown,0.09803921568627451,True
Fluoroscent_Red_313_gaussian_0.01_bilateral_filter,13727,803,9,9114,0,unknown,0.09803921568627451,True
Fluoroscent_Red_313_gaussian_0.01_non_local_means,8565,578,25,7023,0,unknown,0.09019607843137255,True
Fluoroscent_Red_313_gaussian_0.01_topological,8565,578,25,7023,0,unknown,0.09019607843137255,True
Fluoroscent_Red_313_gaussian_0.01_morphological,8565,578,25,7023,0,unknown,0.09019607843137255,True
Fluoroscent_Red_313_gaussian_0.03_median_filter,14985,912,10,9717,0,unknown,0.09803921568627451,True
Fluoroscent_Red_313_gaussian_0.03_bilateral_filter,13721,806,10,9139,0,unknown,0.09803921568627451,True
Fluoroscent_Red_313_gaussian_0.03_non_local_means,8559,571,23,7019,0,unknown,0.09019607843137255,True
Fluoroscent_Red_313_gaussian_0.03_topological,8559,571,23,7019,0,unknown,0.09019607843137255,True
Fluoroscent_Red_313_gaussian_0.03_morphological,8559,571,23,7019,0,unknown,0.09019607843137255,True
Fluoroscent_Red_313_gaussian_0.05_median_filter,14973,911,8,9716,0,unknown,0.09803921568627451,True
Fluoroscent_Red_313_gaussian_0.05_bilateral_filter,13745,795,10,9127,0,unknown,0.09803921568627451,True
Fluoroscent_Red_313_gaussian_0.05_non_local_means,8548,574,24,7021,0,unknown,0.09019607843137255,True
Fluoroscent_Red_313_gaussian_0.05_topological,8548,574,24,7021,0,unknown,0.09019607843137255,True
Fluoroscent_Red_313_gaussian_0.05_morphological,8548,574,24,7021,0,unknown,0.09019607843137255,True
Fluoroscent_Red_313_gaussian_0.08_median_filter,14962,898,8,9739,0,unknown,0.09803921568627451,True
Fluoroscent_Red_313_gaussian_0.08_bilateral_filter,13734,793,10,9147,0,unknown,0.09803921568627451,True
Fluoroscent_Red_313_gaussian_0.08_non_local_means,8551,577,23,7025,0,unknown,0.09019607843137255,True
Fluoroscent_Red_313_gaussian_0.08_topological,8551,577,23,7025,0,unknown,0.09019607843137255,True
Fluoroscent_Red_313_gaussian_0.08_morphological,8551,577,23,7025,0,unknown,0.09019607843137255,True
Fluoroscent_Red_313_gaussian_0.10_median_filter,14978,886,8,9711,0,unknown,0.09803921568627451,True
Fluoroscent_Red_313_gaussian_0.10_bilateral_filter,13715,795,10,9129,0,unknown,0.09803921568627451,True
Fluoroscent_Red_313_gaussian_0.10_non_local_means,8553,572,23,7025,0,unknown,0.09019607843137255,True
Fluoroscent_Red_313_gaussian_0.10_topological,8553,572,23,7025,0,unknown,0.09019607843137255,True
Fluoroscent_Red_313_gaussian_0.10_morphological,8553,572,23,7025,0,unknown,0.09019607843137255,True
Fluoroscent_Red_313_salt_pepper_0.01_median_filter,15007,847,8,9353,0,unknown,0.09803921568627451,True
Fluoroscent_Red_313_salt_pepper_0.01_bilateral_filter,29042,1626,1,9024,0,unknown,0.11372549019607843,True
Fluoroscent_Red_313_salt_pepper_0.01_non_local_means,8701,750,27,6893,0,unknown,0.09803921568627451,True
Fluoroscent_Red_313_salt_pepper_0.01_topological,8701,750,27,6893,0,unknown,0.09803921568627451,True
Fluoroscent_Red_313_salt_pepper_0.01_morphological,8701,750,27,6893,0,unknown,0.09803921568627451,True
Fluoroscent_Red_313_salt_pepper_0.03_median_filter,15035,851,8,9386,0,unknown,0.09803921568627451,True
Fluoroscent_Red_313_salt_pepper_0.03_bilateral_filter,59820,3625,1,43,0,unknown,0.4235294117647059,True
Fluoroscent_Red_313_salt_pepper_0.03_non_local_means,9121,1860,8,7010,0,unknown,0.10588235294117647,True
Fluoroscent_Red_313_salt_pepper_0.03_topological,9121,1860,8,7010,0,unknown,0.10588235294117647,True
