image_name,subfolder,stage,variant,threshold,superlevel,confidence,total_features,betti_0,betti_1,min_persistence,timestamp
Fluoroscent_Red_313_clean,ReportImages,baseline,baseline,0.09803921568627451,True,0.9,9457,8,9449,0.02,2025-11-10T21:27:04.385414
Fluoroscent_Red_313_gaussian_0.01,ReportImages,baseline,noised_gaussian_0.01,0.09803921568627451,True,0.9,9788,8,9780,0.02,2025-11-10T21:30:12.439961
Fluoroscent_Red_313_gaussian_0.03,ReportImages,baseline,noised_gaussian_0.03,0.09803921568627451,True,0.9,9793,8,9785,0.02,2025-11-10T21:32:57.678312
Fluoroscent_Red_313_gaussian_0.05,ReportImages,baseline,noised_gaussian_0.05,0.09803921568627451,True,0.9,9800,8,9792,0.02,2025-11-10T21:34:46.428418
Fluoroscent_Red_313_gaussian_0.08,ReportImages,baseline,noised_gaussian_0.08,0.09803921568627451,True,0.9,9820,8,9812,0.02,2025-11-10T21:37:15.277635
Fluoroscent_Red_313_gaussian_0.10,ReportImages,baseline,noised_gaussian_0.10,0.09803921568627451,True,0.9,9796,7,9789,0.02,2025-11-10T21:39:47.327794
Fluoroscent_Red_313_salt_pepper_0.01,ReportImages,baseline,noised_salt_pepper_0.01,0.12156862745098039,True,0.9,10287,6,10281,0.02,2025-11-10T21:42:25.463247
Fluoroscent_Red_313_salt_pepper_0.03,ReportImages,baseline,noised_salt_pepper_0.03,0.5254901960784314,True,0.9,44,1,43,0.02,2025-11-10T21:45:09.985362
Fluoroscent_Red_313_salt_pepper_0.05,ReportImages,baseline,noised_salt_pepper_0.05,0.5254901960784314,True,0.9,290,1,289,0.02,2025-11-10T21:48:01.135374
Fluoroscent_Red_313_salt_pepper_0.08,ReportImages,baseline,noised_salt_pepper_0.08,0.5254901960784314,True,0.9,1719,1,1718,0.05059359781444073,2025-11-10T21:51:17.757357
Fluoroscent_Red_313_salt_pepper_0.10,ReportImages,baseline,noised_salt_pepper_0.10,0.5294117647058824,True,0.9,3630,1,3629,0.06797756999731064,2025-11-10T21:54:30.755108
Fluoroscent_Red_313_gaussian_0.01_median_filter,ReportImages,baseline,denoised_gaussian_0.01_median_filter,0.09803921568627451,True,0.9,9742,8,9734,0.02,2025-11-10T21:57:50.712156
Fluoroscent_Red_313_gaussian_0.01_bilateral_filter,ReportImages,baseline,denoised_gaussian_0.01_bilateral_filter,0.09803921568627451,True,0.9,9123,9,9114,0.02,2025-11-10T21:59:38.679101
Fluoroscent_Red_313_gaussian_0.01_non_local_means,ReportImages,baseline,denoised_gaussian_0.01_non_local_means,0.09019607843137255,True,0.9,7048,25,7023,0.02,2025-11-10T22:04:32.242540
Fluoroscent_Red_313_gaussian_0.01_topological,ReportImages,baseline,denoised_gaussian_0.01_topological,0.09019607843137255,True,0.9,7048,25,7023,0.02,2025-11-10T22:07:46.549960
Fluoroscent_Red_313_gaussian_0.01_morphological,ReportImages,baseline,denoised_gaussian_0.01_morphological,0.09019607843137255,True,0.9,7048,25,7023,0.02,2025-11-10T22:10:12.806697
Fluoroscent_Red_313_gaussian_0.03_median_filter,ReportImages,baseline,denoised_gaussian_0.03_median_filter,0.09803921568627451,True,0.9,9727,10,9717,0.02,2025-11-10T22:12:46.247934
Fluoroscent_Red_313_gaussian_0.03_bilateral_filter,ReportImages,baseline,denoised_gaussian_0.03_bilateral_filter,0.09803921568627451,True,0.9,9149,10,9139,0.02,2025-11-10T22:15:06.348411
Fluoroscent_Red_313_gaussian_0.03_non_local_means,ReportImages,baseline,denoised_gaussian_0.03_non_local_means,0.09019607843137255,True,0.9,7042,23,7019,0.02,2025-11-10T22:17:59.451733
Fluoroscent_Red_313_gaussian_0.03_topological,ReportImages,baseline,denoised_gaussian_0.03_topological,0.09019607843137255,True,0.9,7042,23,7019,0.02,2025-11-10T22:20:04.691610
Fluoroscent_Red_313_gaussian_0.03_morphological,ReportImages,baseline,denoised_gaussian_0.03_morphological,0.09019607843137255,True,0.9,7042,23,7019,0.02,2025-11-10T22:22:19.934194
Fluoroscent_Red_313_gaussian_0.05_median_filter,ReportImages,baseline,denoised_gaussian_0.05_median_filter,0.09803921568627451,True,0.9,9724,8,9716,0.02,2025-11-10T22:24:32.364189
Fluoroscent_Red_313_gaussian_0.05_bilateral_filter,ReportImages,baseline,denoised_gaussian_0.05_bilateral_filter,0.09803921568627451,True,0.9,9137,10,9127,0.02,2025-11-10T22:27:37.413951
Fluoroscent_Red_313_gaussian_0.05_non_local_means,ReportImages,baseline,denoised_gaussian_0.05_non_local_means,0.09019607843137255,True,0.9,7045,24,7021,0.02,2025-11-10T22:31:27.661323
Fluoroscent_Red_313_gaussian_0.05_topological,ReportImages,baseline,denoised_gaussian_0.05_topological,0.09019607843137255,True,0.9,7045,24,7021,0.02,2025-11-10T22:33:57.002378
Fluoroscent_Red_313_gaussian_0.05_morphological,ReportImages,baseline,denoised_gaussian_0.05_morphological,0.09019607843137255,True,0.9,7045,24,7021,0.02,2025-11-10T22:36:21.876280
Fluoroscent_Red_313_gaussian_0.08_median_filter,ReportImages,baseline,denoised_gaussian_0.08_median_filter,0.09803921568627451,True,0.9,9747,8,9739,0.02,2025-11-10T22:38:55.442546
Fluoroscent_Red_313_gaussian_0.08_bilateral_filter,ReportImages,baseline,denoised_gaussian_0.08_bilateral_filter,0.09803921568627451,True,0.9,9157,10,9147,0.02,2025-11-10T22:41:36.421195
