noise_type,noise_level,bilateral_filter,median_filter,morphological_denoising,non_local_means,topological_denoising
gaussian,0.01,-9.764082949918537,-2.2474419197912083,-10.674448653097755,-10.678586977791188,-49.528194618487774
gaussian,0.03,-1.0388672840630744,-2.549568257315085,-4.627383985950189,-9.896808927557974,-2.06329435109656
gaussian,0.05,-0.8053244201981234,-0.012813940223841571,-2.3147714807761086,-8.90979163757044,-0.4583560071703127
gaussian,0.08,-15.649178330820307,-1.0009620929471454,-5.33898352159329,-5.403306787531128,-0.14841172373439976
gaussian,0.1,0.01995000920337656,0.5857530315227467,-0.32775009405272776,-0.7568864004447595,0.13521286551943743
salt_pepper,0.01,-2.2179536334125705,-1.9479326646920108,-6.5313226659114685,-7.269515326359366,-1.4475264654508326
salt_pepper,0.03,-0.3358695391298609,0.08536268211835829,-20.54092750803457,-3.356052207849562,0.25915117857476566
salt_pepper,0.05,-0.1176590007859358,-0.7056849652949457,-27.314623461575618,-5.76568205916251,0.07026649984807422
salt_pepper,0.08,-0.10561201091023197,-1.0276053874672464,-23.910372201864625,-1.8957150722464708,0.6427300594278949
salt_pepper,0.1,0.06024435731421619,0.18560221132643723,-19.32608511449945,-3.5200980913805977,0.4553787145098723
