image_name,intensity_b0,intensity_b1,edt_b0,edt_b1
A_disk_clean,1,0,1,1
A_disk_gaussian_0.01,1,0,1,1
A_disk_gaussian_0.03,1,0,1,1
A_disk_gaussian_0.05,1,0,1,1
A_disk_gaussian_0.08,1,0,1,1
A_disk_gaussian_0.10,1,0,1,1
A_disk_salt_pepper_0.01,938,336,1,1
A_disk_salt_pepper_0.03,2644,1003,1,1
A_disk_salt_pepper_0.05,4158,1719,1,1
A_disk_salt_pepper_0.08,6130,2577,1,1
A_disk_salt_pepper_0.10,7165,3038,1,1
A_disk_gaussian_0.01_median_filter,1,0,1,1
A_disk_gaussian_0.01_bilateral_filter,1,0,1,1
A_disk_gaussian_0.01_non_local_means,1,0,1,1
A_disk_gaussian_0.01_topological,1,0,1,1
A_disk_gaussian_0.01_morphological,1,0,1,1
A_disk_gaussian_0.03_median_filter,1,0,1,1
A_disk_gaussian_0.03_bilateral_filter,1,0,1,1
A_disk_gaussian_0.03_non_local_means,1,0,1,1
A_disk_gaussian_0.03_topological,1,0,1,1
A_disk_gaussian_0.03_morphological,1,0,1,1
A_disk_gaussian_0.05_median_filter,1,0,1,1
A_disk_gaussian_0.05_bilateral_filter,1,0,1,1
A_disk_gaussian_0.05_non_local_means,1,0,1,1
A_disk_gaussian_0.05_topological,1,0,1,1
A_disk_gaussian_0.05_morphological,1,0,1,1
A_disk_gaussian_0.08_median_filter,1,0,1,1
A_disk_gaussian_0.08_bilateral_filter,1,0,1,1
A_disk_gaussian_0.08_non_local_means,1,0,1,1
A_disk_gaussian_0.08_topological,1,0,1,1
A_disk_gaussian_0.08_morphological,1,0,1,1
A_disk_gaussian_0.10_median_filter,1,0,1,1
A_disk_gaussian_0.10_bilateral_filter,1,0,1,1
A_disk_gaussian_0.10_non_local_means,1,0,1,1
A_disk_gaussian_0.10_topological,1,0,1,1
A_disk_gaussian_0.10_morphological,1,0,1,1
A_disk_salt_pepper_0.01_median_filter,1,0,1,1
A_disk_salt_pepper_0.01_bilateral_filter,938,336,1,1
A_disk_salt_pepper_0.01_non_local_means,1,0,1,1
A_disk_salt_pepper_0.01_topological,1,0,1,1
A_disk_salt_pepper_0.01_morphological,1,0,1,1
A_disk_salt_pepper_0.03_median_filter,1,0,1,1
A_disk_salt_pepper_0.03_bilateral_filter,2644,1003,1,1
A_disk_salt_pepper_0.03_non_local_means,5,0,1,1
A_disk_salt_pepper_0.03_topological,5,0,1,1
A_disk_salt_pepper_0.03_morphological,5,0,1,1
A_disk_salt_pepper_0.05_median_filter,1,0,1,1
A_disk_salt_pepper_0.05_bilateral_filter,4158,1719,1,1
A_disk_salt_pepper_0.05_non_local_means,15,2,1,1
A_disk_salt_pepper_0.05_topological,15,2,1,1
A_disk_salt_pepper_0.05_morphological,15,2,1,1
A_disk_salt_pepper_0.08_median_filter,1,0,1,1
A_disk_salt_pepper_0.08_bilateral_filter,6130,2577,1,1
A_disk_salt_pepper_0.08_non_local_means,24,13,1,1
A_disk_salt_pepper_0.08_topological,24,13,1,1
A_disk_salt_pepper_0.08_morphological,24,13,1,1
