image_name,noise_type,noise_level,denoise_method,clean_betti_0,clean_betti_1,noisy_betti_0,noisy_betti_1,denoised_betti_0,denoised_betti_1,noise_impact_betti_0,noise_impact_betti_1,noise_impact_total,recovery_betti_0,recovery_betti_1,recovery_total,relative_noise_impact,relative_recovery,timestamp,wasserstein_clean_noisy_H0,wasserstein_clean_denoised_H0,wasserstein_noisy_denoised_H0,wasserstein_clean_noisy_H1,wasserstein_clean_denoised_H1,wasserstein_noisy_denoised_H1
Fluoroscent_Red_313,gaussian,0.01,median_filter,19893,935,58641,25257,15578,1155,38748,24322,63070,4315,220,4095,3.0281352026118684,0.935072142064373,2025-10-28T04:34:19.527034,1358.3452945400281,187.3357167551774,1547.6180650732906,394.44540234746773,3.688009886180653,388.64157852471413
Fluoroscent_Red_313,gaussian,0.01,bilateral_filter,19893,935,59030,25420,13910,781,39137,24485,63622,5983,154,6137,3.054637987324755,0.903539656093804,2025-10-28T04:34:59.902647,1370.2920605125114,263.4612860480416,1647.564762841016,396.88472703880797,2.6042047280562053,400.96555646574154
Fluoroscent_Red_313,gaussian,0.01,non_local_means,19893,935,58241,25443,8547,513,38348,24508,62856,11346,422,11768,3.0178605723065104,0.8127784141529846,2025-10-28T04:35:51.987510,1345.4266981152007,520.2346267817039,1908.718222503588,397.3482355859293,7.315129486818931,416.31162013157245
Fluoroscent_Red_313,gaussian,0.01,topological_denoising,19893,935,58938,25328,12445,713,39045,24393,63438,7448,222,7670,3.0458037257537933,0.8790945490084807,2025-10-28T04:36:43.045373,1367.2560844795964,331.2666443014948,1718.4814805461979,395.72866445857886,3.797496959264042,405.90766434513785
Fluoroscent_Red_313,gaussian,0.01,morphological_denoising,19893,935,58770,25481,12918,438,38877,24546,63423,6975,497,7472,3.045083541386595,0.8821878498336566,2025-10-28T04:37:27.001243,1362.3824401040988,300.4456307604603,1631.329828026106,398.09803196397246,8.419059429631924,408.55655716918596
Fluoroscent_Red_313,gaussian,0.03,median_filter,19893,935,85219,9461,22233,8457,65326,8526,73852,2340,7522,9862,3.5458037257537933,0.8664626550398093,2025-10-28T04:38:14.161150,2926.4349456120913,93.54294729744251,2658.9988598385867,222.9162215812945,115.28092442213612,24.786169707588073
Fluoroscent_Red_313,gaussian,0.03,bilateral_filter,19893,935,85151,9299,15153,903,65258,8364,73622,4740,32,4772,3.5347608987900907,0.935182418298878,2025-10-28T04:39:00.122637,2924.7301587831494,204.4820721405498,3179.0331111448168,219.14594085277145,0.5236222124473326,216.14211862735272
Fluoroscent_Red_313,gaussian,0.03,non_local_means,19893,935,85377,9307,8533,346,65484,8372,73856,11360,589,11949,3.545995774918379,0.8382121967071057,2025-10-28T04:39:53.063325,2936.123214652226,518.0722797247047,3681.8679363803344,219.12080795847487,10.305576202166922,240.3117447757639
Fluoroscent_Red_313,gaussian,0.03,topological_denoising,19893,935,85310,9273,16427,2312,65417,8338,73755,3466,1377,2089,3.5411465335125794,0.9716764965087112,2025-10-28T04:40:46.963159,2932.1072391876955,147.94462156923265,3096.8659666241765,218.47738663650017,22.024186849151864,176.62666579552663
Fluoroscent_Red_313,gaussian,0.03,morphological_denoising,19893,935,85198,9374,16715,166,65305,8439,73744,3178,769,3947,3.5406183983099675,0.9464770015187677,2025-10-28T04:41:31.014446,2926.3109493889774,126.01782754291854,2868.2207116986233,220.84434464309305,12.21056407939348,231.81354585205204
