image_name,subfolder,stage,variant,threshold,superlevel,confidence,total_features,betti_0,betti_1,min_persistence,timestamp
ccdb3_512_clean,test,baseline,baseline,0.10980392156862745,True,0.9,2637,287,2350,0.02,2025-11-10T15:06:29.305509
ccdb3_512_gaussian_0.01,test,baseline,noised_gaussian_0.01,0.10588235294117647,True,0.9,2649,309,2340,0.02,2025-11-10T15:06:33.575019
ccdb3_512_gaussian_0.03,test,baseline,noised_gaussian_0.03,0.10588235294117647,True,0.9,2666,302,2364,0.02,2025-11-10T15:06:36.071770
ccdb3_512_gaussian_0.05,test,baseline,noised_gaussian_0.05,0.10588235294117647,True,0.9,2647,304,2343,0.02,2025-11-10T15:06:38.984579
ccdb3_512_gaussian_0.08,test,baseline,noised_gaussian_0.08,0.10588235294117647,True,0.9,2642,307,2335,0.02,2025-11-10T15:06:42.536703
ccdb3_512_gaussian_0.10,test,baseline,noised_gaussian_0.10,0.10588235294117647,True,0.9,2644,292,2352,0.02,2025-11-10T15:06:45.209083
ccdb3_512_salt_pepper_0.01,test,baseline,noised_salt_pepper_0.01,0.17254901960784313,True,0.9,1723,12,1711,0.024767372757196426,2025-11-10T15:06:47.640289
ccdb3_512_salt_pepper_0.03,test,baseline,noised_salt_pepper_0.03,0.4117647058823529,True,0.9,254,1,253,0.0413258196786046,2025-11-10T15:06:50.359249
ccdb3_512_salt_pepper_0.05,test,baseline,noised_salt_pepper_0.05,0.4588235294117647,True,0.9,235,1,234,0.05449509434401989,2025-11-10T15:06:53.805275
ccdb3_512_salt_pepper_0.08,test,baseline,noised_salt_pepper_0.08,0.48627450980392156,True,0.9,263,1,262,0.07977983728051186,2025-11-10T15:06:57.310896
ccdb3_512_salt_pepper_0.10,test,baseline,noised_salt_pepper_0.10,0.49411764705882355,True,0.9,337,1,336,0.09930799528956413,2025-11-10T15:07:00.110381
ccdb3_512_gaussian_0.01_median_filter,test,baseline,denoised_gaussian_0.01_median_filter,0.09803921568627451,True,0.9,2300,253,2047,0.02,2025-11-10T15:07:02.898407
ccdb3_512_gaussian_0.01_bilateral_filter,test,baseline,denoised_gaussian_0.01_bilateral_filter,0.09019607843137255,True,0.9,1583,201,1382,0.02,2025-11-10T15:07:05.390642
ccdb3_512_gaussian_0.01_non_local_means,test,baseline,denoised_gaussian_0.01_non_local_means,0.0784313725490196,True,0.9,930,228,702,0.02,2025-11-10T15:07:08.462371
ccdb3_512_gaussian_0.01_topological,test,baseline,denoised_gaussian_0.01_topological,0.0784313725490196,True,0.9,930,228,702,0.02,2025-11-10T15:07:10.966805
ccdb3_512_gaussian_0.01_morphological,test,baseline,denoised_gaussian_0.01_morphological,0.0784313725490196,True,0.9,930,228,702,0.02,2025-11-10T15:07:13.445724
ccdb3_512_gaussian_0.03_median_filter,test,baseline,denoised_gaussian_0.03_median_filter,0.09803921568627451,True,0.9,2344,254,2090,0.02,2025-11-10T15:07:15.914669
ccdb3_512_gaussian_0.03_bilateral_filter,test,baseline,denoised_gaussian_0.03_bilateral_filter,0.09019607843137255,True,0.9,1590,201,1389,0.02,2025-11-10T15:07:18.460415
ccdb3_512_gaussian_0.03_non_local_means,test,baseline,denoised_gaussian_0.03_non_local_means,0.0784313725490196,True,0.9,931,228,703,0.02,2025-11-10T15:07:21.497727
