noise_type,noise_level,bilateral_filter,median_filter,morphological_denoising,non_local_means,topological_denoising
gaussian,0.01,-71.06666666666666,-108.14285714285714,-104.91666666666667,-49.14705882352941,-26.906976744186046
gaussian,0.03,-11.873684210526315,-0.07534246575342474,-15.906666666666666,-863.5,-22.076923076923077
gaussian,0.05,-0.7280701754385965,0.19718309859154926,-10.424107142857142,-5.328767123287672,-0.4930069930069929
gaussian,0.08,0.1333333333333333,0.6964933494558645,-1.6860465116279069,-0.6151919866444073,0.9179528838342811
gaussian,0.1,0.5707762557077626,0.9819990525817148,-0.17178770949720668,0.14784946236559138,0.8993103448275862
salt_pepper,0.01,-1.0,0.7615317667536989,-1.7556270096463025,-0.8709327548806942,-0.15766164747564226
salt_pepper,0.03,-0.008808724832214843,0.8743697478991597,-0.07100840336134451,0.3047300125575555,0.4530201342281879
salt_pepper,0.05,-0.0033112582781456013,0.8879702356345598,-0.03243243243243232,0.2865472719700125,0.4531120331950207
salt_pepper,0.08,0.003361344537815114,0.8935108153078203,-0.059892606361007905,0.28206202849958084,0.5526863806747189
salt_pepper,0.1,-0.0017414018284718225,0.8908465835840138,-0.12250217202432667,0.2097933513027853,0.525764192139738
