image_name,noise_type,noise_level,denoise_method,clean_betti_0,clean_betti_1,noisy_betti_0,noisy_betti_1,denoised_betti_0,denoised_betti_1,noise_impact_betti_0,noise_impact_betti_1,noise_impact_total,recovery_betti_0,recovery_betti_1,recovery_total,relative_noise_impact,relative_recovery,timestamp,wasserstein_clean_noisy_H0,wasserstein_clean_denoised_H0,wasserstein_noisy_denoised_H0,wasserstein_clean_noisy_H1,wasserstein_clean_denoised_H1,wasserstein_noisy_denoised_H1
ccdb3_512,gaussian,0.01,median_filter,287,2350,296,2348,131,1742,9,-2,7,156,608,764,0.0026545316647705874,-108.14285714285714,2025-11-09T14:57:19.538818,7.662913172789578,189.35098459714337,200.56069542037937,5.5288304375572235,1249.5181224563737,1249.7966736828664
ccdb3_512,gaussian,0.01,bilateral_filter,287,2350,290,2362,167,1389,3,12,15,120,961,1081,0.005688282138794021,-71.06666666666666,2025-11-09T14:57:23.852492,3.5115890564909886,187.18317195772426,191.48263409599483,21.40024704631075,2200.7351688191925,2233.2635770807437
ccdb3_512,gaussian,0.01,non_local_means,287,2350,256,2415,235,697,-31,65,34,52,1653,1705,0.01289343951459987,-49.14705882352941,2025-11-09T14:57:29.859314,26.804809941452497,201.5691946242025,97.69826777975342,112.88457851738669,6395.278571215443,6630.98515334682
ccdb3_512,gaussian,0.01,topological_denoising,287,2350,278,2316,220,1217,-9,-34,-43,67,1133,1200,-0.01630640879787637,-26.906976744186046,2025-11-09T14:57:36.922344,8.26400734318397,114.01641408770234,102.43507733082427,60.77473093582924,2900.1249218081994,2830.5000329725262
ccdb3_512,gaussian,0.01,morphological_denoising,287,2350,286,2375,1,94,-1,25,24,286,2256,2542,0.009101251422070522,-104.91666666666667,2025-11-09T14:57:41.124356,1.43638056993967,242.02781823211848,242.84641250903,44.81502127046063,6518.902264406956,6589.911062527423
ccdb3_512,gaussian,0.03,median_filter,287,2350,298,2631,269,2054,11,281,292,18,296,314,0.11073189230185809,-0.07534246575342474,2025-11-09T14:57:46.456869,11.108099896208484,18.628259281616767,30.267537465648957,464.41260151519595,559.8358236208048,1039.6029948668727
ccdb3_512,gaussian,0.03,bilateral_filter,287,2350,324,2408,110,1304,37,58,95,177,1046,1223,0.03602578687902924,-11.873684210526315,2025-11-09T14:57:52.122866,31.853006505400767,267.47022721321815,317.71070667469735,106.30634699597812,2444.946770949408,2588.540903755188
ccdb3_512,gaussian,0.03,non_local_means,287,2350,310,2325,212,696,23,-25,-2,75,1654,1729,-0.0007584376185059138,-863.5,2025-11-09T14:57:58.258190,20.15766603904389,282.54355162012524,363.1640031439994,53.29243843907916,6130.9444248707905,6123.453534976675
ccdb3_512,gaussian,0.03,topological_denoising,287,2350,257,2341,141,1596,-30,-9,-39,146,754,900,-0.014789533560864654,-22.076923076923077,2025-11-09T14:58:05.556547,27.42118835817876,184.8806136865992,148.8983789254872,22.848133253845415,1620.3708713931544,1611.0006583425904
ccdb3_512,gaussian,0.03,morphological_denoising,287,2350,301,2486,1,100,14,136,150,286,2250,2536,0.056882821387940874,-15.906666666666666,2025-11-09T14:58:09.907866,12.984772675201187,242.02781823211848,259.8203002792578,236.3627249336991,6201.146208779732,6502.111494530508
ccdb3_512,gaussian,0.05,median_filter,287,2350,359,2633,242,2110,72,283,355,45,240,285,0.13462267728479338,0.19718309859154926,2025-11-09T14:58:14.243195,61.71690451103541,40.34860752357214,102.58165508943463,480.81476850291097,445.6825615351122,944.1319466523225
ccdb3_512,gaussian,0.05,bilateral_filter,287,2350,404,2803,168,1484,117,453,570,119,866,985,0.21615472127417523,-0.7280701754385965,2025-11-09T14:58:20.708985,96.89172424440078,115.82061706777718,224.6881855746689,746.1979894140901,1875.1968886907612,2720.076837763385
ccdb3_512,gaussian,0.05,non_local_means,287,2350,400,2529,181,608,113,179,292,106,1742,1848,0.11073189230185809,-5.328767123287672,2025-11-09T14:58:26.782437,97.11875283398902,366.20022725840994,732.6096197340664,316.9541275156102,6895.120792486676,7559.041769281209
ccdb3_512,gaussian,0.05,topological_denoising,287,2350,327,2596,214,1996,40,246,286,73,354,427,0.10845657944634057,-0.4930069930069929,2025-11-09T14:58:34.067360,34.39169267381111,65.77558022672913,102.43459183721556,422.6049139901877,673.4019845004198,1103.4105921610158
