noise_type,noise_level,bilateral_filter,median_filter,non_local_means
gaussian,0.01,-7.195426014194023,-16.750326800895266,-10.375325012788817
gaussian,0.03,-2.971071479338653,-1.2396673704876802,-2.183111414186004
gaussian,0.05,-1.107363665451438,-1.9396778964075956,-1.9212271441611912
gaussian,0.08,-1.4630504654448397,-1.8466404146786979,-1.575341848946596
gaussian,0.1,0.6437661792798551,0.4260284059741429,0.6079172901898209
salt_pepper,0.01,-0.07949539402446687,-0.3084272194397779,-0.8388738816698313
salt_pepper,0.03,0.3485441466573802,0.5465783626079244,0.4097240215119295
salt_pepper,0.05,0.4198929286686913,0.6055358374117077,0.46627484237583045
salt_pepper,0.08,0.31378272231627036,0.7340186428838842,0.6859655156467007
salt_pepper,0.1,0.21786997726131302,0.7637851767643854,0.7313007707493887
