image_name,subfolder,stage,variant,threshold,superlevel,confidence,total_features,betti_0,betti_1,min_persistence,timestamp
Fluoroscent_Red_313_clean,ReportImages,baseline,baseline,0.09803921568627451,True,0.9,9457,8,9449,0.02,2025-10-18T01:59:41.588115
Fluoroscent_Red_313_gaussian_0.05,ReportImages,baseline,noised_gaussian_0.05,0.09803921568627451,True,0.9,9788,8,9780,0.02,2025-10-18T02:00:04.574238
Fluoroscent_Red_313_gaussian_0.1,ReportImages,baseline,noised_gaussian_0.1,0.09803921568627451,True,0.9,9793,8,9785,0.02,2025-10-18T02:00:38.637348
Fluoroscent_Red_313_salt_pepper_0.05,ReportImages,baseline,noised_salt_pepper_0.05,0.5254901960784314,True,0.9,292,1,291,0.02,2025-10-18T02:01:30.502474
Fluoroscent_Red_313_salt_pepper_0.1,ReportImages,baseline,noised_salt_pepper_0.1,0.5215686274509804,True,0.9,3781,1,3780,0.06792697124183178,2025-10-18T02:02:02.361833
Fluoroscent_Red_313_gaussian_0.05_median_filter,ReportImages,baseline,denoised_gaussian_0.05_median_filter,0.09803921568627451,True,0.9,9742,8,9734,0.02,2025-10-18T02:02:27.014570
Fluoroscent_Red_313_gaussian_0.05_bilateral_filter,ReportImages,baseline,denoised_gaussian_0.05_bilateral_filter,0.09803921568627451,True,0.9,9123,9,9114,0.02,2025-10-18T02:02:56.630883
Fluoroscent_Red_313_gaussian_0.05_non_local_means,ReportImages,baseline,denoised_gaussian_0.05_non_local_means,0.09019607843137255,True,0.9,7048,25,7023,0.02,2025-10-18T02:03:36.739545
Fluoroscent_Red_313_gaussian_0.1_median_filter,ReportImages,baseline,denoised_gaussian_0.1_median_filter,0.09803921568627451,True,0.9,9727,10,9717,0.02,2025-10-18T02:04:00.110952
Fluoroscent_Red_313_gaussian_0.1_bilateral_filter,ReportImages,baseline,denoised_gaussian_0.1_bilateral_filter,0.09803921568627451,True,0.9,9149,10,9139,0.02,2025-10-18T02:04:24.214157
Fluoroscent_Red_313_gaussian_0.1_non_local_means,ReportImages,baseline,denoised_gaussian_0.1_non_local_means,0.09019607843137255,True,0.9,7042,23,7019,0.02,2025-10-18T02:05:02.045877
Fluoroscent_Red_313_salt_pepper_0.05_median_filter,ReportImages,baseline,denoised_salt_pepper_0.05_median_filter,0.09803921568627451,True,0.9,9382,8,9374,0.02,2025-10-18T02:05:26.623294
Fluoroscent_Red_313_salt_pepper_0.05_bilateral_filter,ReportImages,baseline,denoised_salt_pepper_0.05_bilateral_filter,0.4235294117647059,True,0.9,292,1,291,0.02,2025-10-18T02:05:53.726744
Fluoroscent_Red_313_salt_pepper_0.05_non_local_means,ReportImages,baseline,denoised_salt_pepper_0.05_non_local_means,0.11372549019607843,True,0.9,7068,12,7056,0.02,2025-10-18T02:06:29.368042
Fluoroscent_Red_313_salt_pepper_0.1_median_filter,ReportImages,baseline,denoised_salt_pepper_0.1_median_filter,0.09803921568627451,True,0.9,9400,10,9390,0.02,2025-10-18T02:06:57.309274
Fluoroscent_Red_313_salt_pepper_0.1_bilateral_filter,ReportImages,baseline,denoised_salt_pepper_0.1_bilateral_filter,0.43529411764705883,True,0.9,3778,1,3777,0.05510263703763485,2025-10-18T02:07:24.478423
Fluoroscent_Red_313_salt_pepper_0.1_non_local_means,ReportImages,baseline,denoised_salt_pepper_0.1_non_local_means,0.12941176470588237,True,0.9,7835,24,7811,0.02,2025-10-18T02:08:00.045400
FLuroscent_Green61_clean,ReportImages,baseline,baseline,0.09019607843137255,True,0.9,3107,1,3106,0.02,2025-10-18T02:17:00.443857
FLuroscent_Green61_gaussian_0.05,ReportImages,baseline,noised_gaussian_0.05,0.08627450980392157,True,0.9,3751,1,3750,0.02,2025-10-18T02:17:33.039963
FLuroscent_Green61_gaussian_0.1,ReportImages,baseline,noised_gaussian_0.1,0.08627450980392157,True,0.9,3779,1,3778,0.02,2025-10-18T02:17:53.484613
FLuroscent_Green61_salt_pepper_0.05,ReportImages,baseline,noised_salt_pepper_0.05,0.5176470588235295,True,0.9,135,1,134,0.030006802640855312,2025-10-18T02:18:12.297785
FLuroscent_Green61_salt_pepper_0.1,ReportImages,baseline,noised_salt_pepper_0.1,0.5176470588235295,True,0.9,1803,1,1802,0.07868551835417747,2025-10-18T02:18:31.230054
